needle_id,policy,expected_answer,answer_tokens,total_logprob,avg_logprob,perplexity,predicted_text_greedy_per_step,elapsed_sec,swap_total_gb,tokens,vram_peak,ram_peak,swap_vram_ram,swap_ram_ssd,attention_mass_total,attention_mass_vram,vram_attention_ratio,ram_attention_penalty,ssd_attention_penalty
blue_orchid,full_context, BLUE ORCHID,4,-0.28898923825181555,-0.07224730956295389,1.0749211494740352, BLUE ORCHID,0.7314142710001761,0.0,0,0,0,0,0,0.0,0.0,1.0,-0.5,-2.0
blue_orchid,recent_only, BLUE ORCHID,4,-1.735542034439277,-0.4338855086098192,1.5432421700600412, Blue ORCHID,1.3911356619992148,2.231369728,96,251658240,503316480,352321536,1879048192,96.00041722708048,1.2643945729835195,0.013170719560444267,-0.5,-2.0
blue_orchid,sinks_recent, BLUE ORCHID,4,-2.7164937377674505,-0.6791234344418626,1.972148257104304, The ORCHID,1.3577319590003754,2.231369728,96,251658240,503316480,352321536,1879048192,96.00041722708048,38.163236096463834,0.397531981618289,-0.5,-2.0
blue_orchid,heavy_hitter, BLUE ORCHID,4,-3.3140785133000463,-0.8285196283250116,2.289926287824173, The ORCHID,1.3642393730006006,3.305111552,96,251658240,503316480,754974720,2550136832,96.00041722708048,51.500831886376545,0.5364646672790587,-0.5,-2.0
blue_orchid,sinks_heavy_hitter, BLUE ORCHID,4,-2.2868709086615127,-0.5717177271653782,1.7713070619904998, The ORCHID,1.360095617999832,3.506438144,96,251658240,503316480,654311424,2852126720,96.00041722708048,63.16675730046427,0.6579841955379101,-0.5,-2.0
blue_orchid,full_context, BLUE ORCHID,4,-0.28898923825181555,-0.07224730956295389,1.0749211494740352, BLUE ORCHID,0.6500178799997229,0.0,0,0,0,0,0,0.0,0.0,1.0,-0.5,-4.0
blue_orchid,recent_only, BLUE ORCHID,4,-19.17013654112816,-4.79253413528204,120.60661521069169," 

GANID",1.384384281000166,2.231369728,96,251658240,503316480,352321536,1879048192,96.00041722708048,1.2643945729835195,0.013170719560444267,-0.5,-4.0
blue_orchid,sinks_recent, BLUE ORCHID,4,-19.93584679067135,-4.983961697667837,146.05185029493896," The

GANID",1.3967445370008136,2.231369728,96,251658240,503316480,352321536,1879048192,96.00041722708048,38.163236096463834,0.397531981618289,-0.5,-4.0
blue_orchid,heavy_hitter, BLUE ORCHID,4,-21.502697832882404,-5.375674458220601,216.0855638585578, ThePRINTANGEID,1.3903711080001813,3.305111552,96,251658240,503316480,754974720,2550136832,96.00041722708048,51.500831886376545,0.5364646672790587,-0.5,-4.0
blue_orchid,sinks_heavy_hitter, BLUE ORCHID,4,-9.545025280152913,-2.3862563200382283,10.872713696179392, The ORCHID,1.3836606220002068,3.506438144,96,251658240,503316480,654311424,2852126720,96.00041722708048,63.16675730046427,0.6579841955379101,-0.5,-4.0
blue_orchid,full_context, BLUE ORCHID,4,-0.28898923825181555,-0.07224730956295389,1.0749211494740352, BLUE ORCHID,0.6557379329997275,0.0,0,0,0,0,0,0.0,0.0,1.0,-0.5,-6.0
blue_orchid,recent_only, BLUE ORCHID,4,-31.963228702545166,-7.9908071756362915,2953.680136176763," 

GANANG",1.3686005219997242,2.231369728,96,251658240,503316480,352321536,1879048192,96.00041722708048,1.2643945729835195,0.013170719560444267,-0.5,-6.0
blue_orchid,sinks_recent, BLUE ORCHID,4,-32.36488580703735,-8.091221451759338,3265.6739983669795,  GREENGANANG,1.3566398880002453,2.231369728,96,251658240,503316480,352321536,1879048192,96.00041722708048,38.163236096463834,0.397531981618289,-0.5,-6.0
blue_orchid,heavy_hitter, BLUE ORCHID,4,-22.662394002079964,-5.665598500519991,288.76075287021155, ThePRINTANGEID,1.3658024719998139,3.305111552,96,251658240,503316480,754974720,2550136832,96.00041722708048,51.500831886376545,0.5364646672790587,-0.5,-6.0
blue_orchid,sinks_heavy_hitter, BLUE ORCHID,4,-10.888452699990012,-2.722113174997503,15.21243484019273, The ORCHID,1.376430819000234,3.506438144,96,251658240,503316480,654311424,2852126720,96.00041722708048,63.16675730046427,0.6579841955379101,-0.5,-6.0
blue_orchid,full_context, BLUE ORCHID,4,-0.28898923825181555,-0.07224730956295389,1.0749211494740352, BLUE ORCHID,0.657065672000499,0.0,0,0,0,0,0,0.0,0.0,1.0,-0.5,-8.0
blue_orchid,recent_only, BLUE ORCHID,4,-31.15242290496826,-7.788105726242065,2411.7447476758343," 

GANANG",1.3722153709995837,2.231369728,96,251658240,503316480,352321536,1879048192,96.00041722708048,1.2643945729835195,0.013170719560444267,-0.5,-8.0
blue_orchid,sinks_recent, BLUE ORCHID,4,-32.27030038833618,-8.067575097084045,3189.358559662014, How GREENGANANG,1.3647661690001769,2.231369728,96,251658240,503316480,352321536,1879048192,96.00041722708048,38.163236096463834,0.397531981618289,-0.5,-8.0
blue_orchid,heavy_hitter, BLUE ORCHID,4,-22.665427416563034,-5.6663568541407585,288.97981868686514, ThePRINTANGEID,1.3685029789994587,3.305111552,96,251658240,503316480,754974720,2550136832,96.00041722708048,51.500831886376545,0.5364646672790587,-0.5,-8.0
blue_orchid,sinks_heavy_hitter, BLUE ORCHID,4,-11.075980106834322,-2.7689950267085806,15.942604065028972, The ORCHID,1.354041705999407,3.506438144,96,251658240,503316480,654311424,2852126720,96.00041722708048,63.16675730046427,0.6579841955379101,-0.5,-8.0
blue_orchid,full_context, BLUE ORCHID,4,-0.28898923825181555,-0.07224730956295389,1.0749211494740352, BLUE ORCHID,0.6884540569999444,0.0,0,0,0,0,0,0.0,0.0,1.0,-1.0,-2.0
